Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,SAMPLE_NAME,MSKC_00533,MSKC_00534,MSKC_00535,MSKC_00536,MSKC_00537,MSKC_00538,MSKC_00539,MSKC_00540,MSKC_00541,MSKC_00542,MSKC_00543,MSKC_00544,MSKC_00545,MSKC_00546,MSKC_00547
2177,"1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*",Lipid,"Phosphatidylethanolamine (PE)",52465,LC/MS Pos Late,100008991,2119,764.5225,,9546799,7825749,,HMDB05324,0.8128,0.7737,0.8422,0.8309,0.7314,1.043,0.9362,1,1.1179,0.9834,1.5224,1.3202,1.3,1.466,1.1978
2056,"1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*",Lipid,"Phosphatidylcholine (PC)",54812,LC/MS Pos Late,100009154,2034,756.5538,,,24766645,,HMDB07974,0.6821,1.1091,1.1694,0.7056,0.7186,0.9954,0.8931,0.9636,1.0624,1,1.3341,1.2825,0.8966,1.212,1.1112
2053,"1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)",Lipid,"Phosphatidylcholine (PC)",42446,LC/MS Pos Late,1537,2160,758.5694,40811-94-7,5287971,4450224,,HMDB07973,0.5577,0.5557,0.6197,0.609,0.5193,1.023,0.9824,1,1.0913,1.04,1.2244,1.1389,1.1045,1.1737,0.9895
2172,"1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)",Lipid,"Phosphatidylethanolamine (PE)",42449,LC/MS Pos Late,100001870,2275,716.5225,,9546747,7825697,,HMDB05322,0.5378,0.5828,0.5463,0.5662,0.5034,1.0106,0.8065,1.0316,0.9856,1,1.5542,1.349,1.0576,1.3739,1.1592
2050,"1-palmitoyl-2-oleoyl-GPC (16:0/18:1)",Lipid,"Phosphatidylcholine (PC)",52461,LC/MS Pos Late,1539,2358,760.5851,26853-31-6;26853-31-6,6436017,4940699,,HMDB07972,0.8943,0.9281,0.9904,0.9538,0.9021,1.0973,1.0633,1.0937,1.1862,1.0833,1.027,1,0.8957,1.0486,0.8477
2170,"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)",Lipid,"Phosphatidylethanolamine (PE)",19263,LC/MS Pos Late,1526,2509,718.5381,26662-94-2,5283496,4446615,,HMDB05320,0.6426,0.679,0.6896,0.7211,0.6711,1,1.0062,0.9878,1.1648,0.9943,1.2512,1.3441,1.1386,1.2897,1.062
2272,"1-palmitoyl-2-oleoyl-GPG (16:0/18:1)",Lipid,"Phosphatidylglycerol (PG)",52448,LC/MS Pos Late,100000641,3206,766.5593,,5283509,4446626,,,0.6477,0.6321,0.6223,0.631,0.5848,0.9509,1.0172,1.0836,1.1032,0.9436,1.2489,1.2905,1,1.1694,1.097
2286,"1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*",Lipid,"Phosphatidylinositol (PI)",52669,LC/MS Pos Late,100009066,3140,854.5753,,,24767668,,HMDB09783,1.3284,1.164,1,0.8957,1.0019,0.9774,0.8765,1.1833,1.0431,1.0465,1.1008,0.9907,0.9366,0.8275,0.6877
2252,"1-palmitoyl-2-oleoyl-GPS (16:0/18:1)",Lipid,"Phosphatidylserine (PS)",19261,LC/MS Pos Late,1531,2660,762.528,40290-44-6,5283499,4446618,C13880,HMDB12357,0.7655,0.6629,0.434,0.7468,0.7188,0.9892,1,0.9796,1.0841,1.0282,1.3009,1.2115,1.097,1.1089,1.0099
2047,"1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*",Lipid,"Phosphatidylcholine (PC)",52470,LC/MS Pos Late,100008984,2160,732.5538,,,,,HMDB07969,0.8557,0.8438,0.9419,0.9371,0.8377,1.0158,0.9922,1,1.0836,1.0221,1.1465,1.0123,1.0162,1.0431,0.8923
2048,"1-palmitoyl-2-stearoyl-GPC (16:0/18:0)",Lipid,"Phosphatidylcholine (PC)",52616,LC/MS Pos Late,100008921,2653,762.6007,59403-51-9,,24766643,,HMDB07970,0.6271,0.6478,0.7061,0.6165,0.5732,1,1.0181,0.965,1.1404,1.0176,1.1979,1.1602,1.0984,1.1129,0.9761
2346,"1-palmitoyl-GPC (16:0)",Lipid,"Lysophospholipid",33955,LC/MS Pos Late,100001263,1525,496.3398,17364-16-8,86554,78064,,HMDB10382,1.2009,1.39,1.4338,1.65,1.5387,0.9345,0.9241,0.857,0.9847,0.9867,1,1.1148,0.9067,1.1097,0.9901
2400,"1-palmitoyl-GPE (16:0)",Lipid,"Lysophospholipid",35631,LC/MS Pos Late,100001567,1544,454.2928,53862-35-4,9547069,7826019,,HMDB11503,0.8706,0.8533,1.0097,0.9749,0.9942,0.7171,0.9567,1.0408,1,0.7923,1.4141,1.6937,1.154,1.5928,1.385
2444,"1-palmitoyl-GPG (16:0)*",Lipid,"Lysophospholipid",45970,LC/MS Neg,100005717,5570,483.2728,,3300276,2548639,,,2.6292,1.4288,1.2894,1.3282,2.0651,0.7802,0.9126,1,0.6542,0.9234,0.9183,1.5339,0.5971,0.7465,1.0259
2451,"1-palmitoyl-GPI (16:0)",Lipid,"Lysophospholipid",35305,LC/MS Neg,100001655,5564,571.2889,,,,,HMDB61695,2.4725,1.8204,1.5942,1.7744,2.3122,0.7624,0.6464,1,0.8468,0.7553,0.9881,1.3662,0.5594,0.8986,1.1135
2437,"1-palmitoyl-GPS (16:0)*",Lipid,"Lysophospholipid",46130,LC/MS Neg,100005805,5572,496.2681,,9547100,7826050,,,1.2245,0.873,0.6387,0.5555,0.8229,1.0429,1.0859,1.5803,0.9749,1.3121,1,1.6824,0.6504,0.8715,1.4423
2582,"1-palmitoylglycerol (16:0)",Lipid,"Monoacylglycerol",21127,LC/MS Neg,100000827,6550,255.2329,542-44-9,14900,14201,,HMDB31074,1.0306,0.4884,0.412,0.4254,0.9916,1,1.3766,1.1791,1.0721,0.9493,1.4818,2.1533,0.9966,0.8396,1.5938
89,"1-ribosyl-imidazoleacetate*",Amino Acid,"Histidine Metabolism",61868,LC/MS Pos Early,100001668,2006,259.0925,29605-99-0,5117448,4292299,C05131,HMDB02331,1.1811,1.1978,1.735,1.2344,1.215,0.4177,0.4177,0.4177,0.5826,0.5057,0.8666,1.1334,0.7022,0.7939,0.4177
2098,"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)",Lipid,"Phosphatidylcholine (PC)",42450,LC/MS Pos Late,100001869,2300,810.6007,35418-59-8,16219824,17347139,,HMDB08048,0.9264,0.9992,1.0359,0.9687,0.8697,1.4316,1.2027,1.3025,1.5647,1.3818,1.068,1,0.8896,0.9542,0.8117
2192,"1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)",Lipid,"Phosphatidylethanolamine (PE)",52447,LC/MS Pos Late,100008977,2424,768.5538,,5289133,4451158,,HMDB09003,0.7218,0.775,0.7514,0.7777,0.7206,1.0864,1.1408,1.1106,1.249,1.1505,1.0865,1.0186,0.9705,1,0.9249
2305,"1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",Lipid,"Phosphatidylinositol (PI)",52449,LC/MS Polar,100000616,870,885.5495,383907-33-3,,21403055,,HMDB09815,0.7632,0.7841,0.8237,0.7496,0.7461,1.389,1.4379,1.4417,1.5238,1.2903,1.0453,1,0.9603,1.1267,0.8583
2261,"1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)",Lipid,"Phosphatidylserine (PS)",52235,LC/MS Pos Late,100001872,2565,812.5436,,,,,HMDB12383,0.7634,0.6656,0.6844,0.6676,0.669,1.0617,1.0353,0.9845,1.1551,1,1.2373,1.1411,1.0918,1.1005,0.989
2104,"1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)",Lipid,"Phosphatidylcholine (PC)",52611,LC/MS Pos Late,100008916,2197,834.6013,59403-52-0,,,,HMDB08057,1.5989,1.3949,1.5964,1.4824,1.3375,0.983,1.0109,0.9475,1.0747,0.9526,1,0.9431,0.8832,0.8716,0.7501
2196,"1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*",Lipid,"Phosphatidylethanolamine (PE)",52466,LC/MS Pos Late,100008992,2317,792.5538,,9546798,7825748,,HMDB05334,1,1.0268,1.0889,1.0408,0.9556,0.8785,0.874,0.936,0.9669,0.904,1.1919,1.1386,1.0675,1.1829,0.995
2090,"1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*",Lipid,"Phosphatidylcholine (PC)",52452,LC/MS Pos Late,100008980,2380,786.6007,,,,,HMDB08039,0.839,0.928,1.0517,0.869,0.9619,1.0343,1,1.0411,1.1858,0.9678,1.0204,0.9754,0.8731,1.1628,1.1549
2187,"1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*",Lipid,"Phosphatidylethanolamine (PE)",52446,LC/MS Pos Late,100008976,2522,744.5538,,9546749,7825699,,HMDB08994,0.4695,0.5607,0.6602,0.4312,0.5165,1.0998,0.9598,1,1.2062,0.9627,1.6703,1.7017,1.6357,1.7256,1.4526
2259,"1-stearoyl-2-linoleoyl-GPS (18:0/18:2)",Lipid,"Phosphatidylserine (PS)",53009,LC/MS Pos Late,100000642,2689,788.5436,322647-11-0,9547091,7826041,,,0.652,0.555,0.6465,0.598,0.6232,0.8972,0.8991,1.0084,1,1.0086,1.4509,1.2787,1.2398,1.3292,1.284
2087,"1-stearoyl-2-oleoyl-GPC (18:0/18:1)",Lipid,"Phosphatidylcholine (PC)",52438,LC/MS Pos Late,100008904,2644,788.6164,56421-10-4,,24766704,,HMDB08038,1.4845,1.5401,1.6817,1.5626,1.4033,0.9811,0.9633,0.9282,1.0805,1,1.0358,0.9645,0.9488,0.9309,0.8357
2184,"1-stearoyl-2-oleoyl-GPE (18:0/18:1)",Lipid,"Phosphatidylethanolamine (PE)",42448,LC/MS Pos Late,100001856,2858,746.5694,,,,,HMDB08993,0.8628,0.9923,0.9762,0.9412,0.8676,1.0912,1.0234,0.9795,1.1881,1.0568,1.2668,1.15,1,1.1918,0.9603
2279,"1-stearoyl-2-oleoyl-GPG (18:0/18:1)",Lipid,"Phosphatidylglycerol (PG)",52623,LC/MS Pos Late,100001866,3714,794.5906,322647-48-3,,,,,0.8848,0.8965,0.9296,0.8188,0.8282,1.0179,1.0194,0.987,1.187,1.0861,1.1,1.1636,1,1.0674,0.9926
2293,"1-stearoyl-2-oleoyl-GPI (18:0/18:1)*",Lipid,"Phosphatidylinositol (PI)",52726,LC/MS Polar,100009181,922,863.5655,,,,,,1.0795,1.1318,1.2242,1.1873,1.2292,1,0.9354,1.0278,1.2815,0.9947,0.8598,0.752,0.7667,0.9025,0.6293
2258,"1-stearoyl-2-oleoyl-GPS (18:0/18:1)",Lipid,"Phosphatidylserine (PS)",19265,LC/MS Pos Late,100000639,3000,790.5593,,9547087,7826037,,HMDB10163,1.1329,1.0798,1.2261,1.1096,1.1093,0.9004,0.9322,0.976,1,0.9121,1.1034,1.0389,0.9036,0.9638,0.873
2355,"1-stearoyl-GPC (18:0)",Lipid,"Lysophospholipid",33961,LC/MS Pos Late,100001271,1606,524.3711,19420-57-6,497299,435389,,HMDB10384,1.3498,1.344,1.5794,1.5929,1.5888,0.8273,0.918,0.8352,0.9717,0.9147,1.0272,1.055,0.8542,1,0.9498
2407,"1-stearoyl-GPE (18:0)",Lipid,"Lysophospholipid",42398,LC/MS Pos Late,100001461,1626,482.3241,69747-55-3,9547068,7826018,,HMDB11130,0.9903,0.9579,0.9737,1.0119,1.0147,0.7968,0.8939,0.8827,1,0.851,1.3501,1.2855,1.0155,1.2605,1.1535
2446,"1-stearoyl-GPG (18:0)",Lipid,"Lysophospholipid",34437,LC/MS Neg,100001462,5816,511.3041,,,21403138,,,3.6181,1.7214,1.4736,1.1734,2.2489,0.7155,0.8924,1.0716,0.8818,0.8126,0.6919,1.3287,0.5738,0.6697,1
2454,"1-stearoyl-GPI (18:0)",Lipid,"Lysophospholipid",19324,LC/MS Neg,100000656,5794,599.3202,796963-93-4,,21403067,,HMDB61696,1.8273,1.1429,0.8748,0.7599,1.2137,0.9103,0.9511,1.3071,0.9521,1.107,1,1.8366,0.5358,0.9231,1.3646
2438,"1-stearoyl-GPS (18:0)*",Lipid,"Lysophospholipid",45966,LC/MS Neg,100004327,5800,524.2994,,9547101,7826051,,,2.1821,1.1514,0.9619,0.8053,1.4151,0.9514,0.9839,1.5147,0.9808,1,1.0367,1.7621,0.6252,0.833,1.4369
1382,"10-heptadecenoate (17:1n7)",Lipid,"Long Chain Monounsaturated Fatty Acid",33971,LC/MS Neg,100001278,5555,267.233,29743-97-3,5312435,4471860,,HMDB60038,0.6252,0.3036,0.2391,0.286,0.3631,1.1077,1.0261,1.5415,1.1085,0.9475,1.2869,1.7821,0.6923,1,1.3328
1390,"10-nonadecenoate (19:1n9)",Lipid,"Long Chain Monounsaturated Fatty Acid",33972,LC/MS Neg,100001277,5780,295.2643,73033-09-7,5312513,4471938,,HMDB13622,0.9675,0.4712,0.3494,0.4227,0.639,1.0685,1.1196,1.6095,1.141,1,1.033,1.4444,0.5603,0.789,1.1181
3848,"2'-deoxyadenosine",Nucleotide,"Purine Metabolism, Adenine containing",1553,LC/MS Pos Early,211,2252,252.1091,16373-93-6,13730,13135,C00559,HMDB00101,1.0569,0.8034,0.5806,0.5806,0.8064,1.1073,0.8769,0.5806,0.7751,0.5806,1.1883,1.1424,1.4989,1.6474,0.9431
3845,"2'-deoxyadenosine 5'-diphosphate",Nucleotide,"Purine Metabolism, Adenine containing",15116,LC/MS Neg,1228,1050,410.0272,72003-83-9,188966,164196,C00206,HMDB01508,1.1137,0.7222,0.6826,0.8677,0.7853,1,1.2735,1.3524,1.2819,1.4783,1.2457,0.7825,0.6234,1.1697,0.7798
3879,"2'-deoxyguanosine",Nucleotide,"Purine Metabolism, Guanine containing",1411,LC/MS Neg,348,1700,266.0895,961-07-9,187790,163230,C00330,HMDB00085,1.3354,1.3537,1.5294,1.3797,1.3608,0.8081,0.7375,0.779,0.8552,0.6236,1.1449,1.0004,1,0.7385,0.5163
3808,"2'-deoxyinosine",Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",15076,LC/MS Neg,100000135,1688,251.0786,890-38-0,65058,58569,C05512,HMDB00071,1.2923,1.1341,1.4536,1.2651,0.8391,0.9454,0.7935,0.9411,0.9156,0.7411,1.264,1.2062,1.1102,1,0.6928
3939,"2'-O-methylcytidine",Nucleotide,"Pyrimidine Metabolism, Cytidine containing",57554,LC/MS Pos Early,100010895,2411,258.1085,2140-72-9,150971,133067,,,0.6117,0.6117,0.9436,1,0.6193,1.5071,1.1657,1.4055,0.6117,1.3349,0.6206,1.1362,0.9152,1.1594,0.8284
377,"2,3-dihydroxy-2-methylbutyrate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57547,LC/MS Polar,100010869,1318,133.0506,14868-24-7,301941,266858,,HMDB29576,0.0798,0.0553,0.0553,0.1299,0.0862,0.9662,1.0148,1.0233,0.9852,0.944,1.2936,1.3565,1.0531,1.314,1.1689
1103,"2,3-diphosphoglycerate",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",15664,LC/MS Neg,1227,555,264.952,102783-53-9,186004,161681,C01159,HMDB01294,0.8765,0.8114,1.0876,1,1.096,1.9635,1.6625,1.6812,2.1071,1.6785,0.4636,0.5224,0.4764,0.4813,0.3253
1824,"2,4-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",62951,LC/MS Polar,100002285,1793,119.035,1518-62-3,192742,167259,,HMDB00360,0.91,1.0214,1.0553,1.0015,0.9974,1,1.1224,1.1605,1.2359,1.1557,0.7764,0.9206,0.7371,0.7023,0.6385
115,"2-aminoadipate",Amino Acid,"Lysine Metabolism",6146,LC/MS Polar,381,3500,160.0615,542-32-5;1118-90-7,469,456,C00956,HMDB00510,0.4386,0.4424,0.4487,0.5053,0.5011,0.7845,1,1.0801,1.1136,0.9574,2.459,2.6721,1.4931,2.8716,2.7345
2603,"2-arachidonoylglycerol (20:4)",Lipid,"Monoacylglycerol",19266,LC/MS Neg,100000584,6170,303.2329,53847-30-6,5282280,4445451,C13856,HMDB04666,1.3495,0.6821,0.4874,0.4874,0.9056,0.6988,1,1.7499,0.7888,0.7546,1.4776,2.6198,0.4874,1.1287,2.1347
2608,"2-heptadecenoylglycerol (17:1)*",Lipid,"Monoacylglycerol",62448,LC/MS Neg,100020770,6284,267.2329,,,,,,1.0165,0.2983,0.2983,0.2983,0.5101,1.148,1.1225,1.0799,0.8804,0.6718,1.3402,1,0.719,0.8698,1.7403
1514,"2-hydroxyadipate",Lipid,"Fatty Acid, Dicarboxylate",31934,LC/MS Polar,100001153,3000,161.0455,18294-85-4,193530,167943,C02360,HMDB00321,0.9804,0.8706,1.0137,0.9863,0.8152,0.5079,0.5079,0.5079,0.5221,0.5079,3.787,4.136,1.6565,4.0394,4.4731
517,"2-hydroxybutyrate/2-hydroxyisobutyrate",Amino Acid,"Glutathione Metabolism",52281,LC/MS Polar,100008928,1258,103.0401,,440864;11671,,,,0.4566,0.8063,1.0027,1.0049,0.6514,0.3192,1.2123,0.3192,0.3192,0.4493,1.0008,1.0979,1.0476,0.4318,1
1510,"2-hydroxyglutarate",Lipid,"Fatty Acid, Dicarboxylate",37253,LC/MS Polar,100002070,3352.8,147.0299,40951-21-1,43,42,C02630,HMDB0059655,1.0043,0.8716,0.9969,1.0767,1.0791,0.3135,0.3509,0.3712,0.4137,0.3694,1.5247,1.5463,1,1.4383,1.4215
2602,"2-linoleoylglycerol (18:2)",Lipid,"Monoacylglycerol",32506,LC/MS Neg,100000987,6250,279.2329,3443-82-1,5365676,4517636,,HMDB11538,0.6839,0.1564,0.1564,0.1564,0.1564,0.7746,0.9983,1.326,0.746,0.8188,1.967,2.4505,1.0017,1.3483,2.229
350,"2-methylbutyrylcarnitine (C5)",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",45095,LC/MS Pos Early,100001509,3050,246.17,31023-25-3,6426901,4932320,,HMDB00378,3.4721,3.0388,3.0789,2.8262,3.0374,0.5851,0.8737,0.8082,0.7268,0.7271,1.1424,1.262,0.8033,1,0.8322
1327,"2-methylcitrate/homocitrate",Energy,"TCA Cycle",52282,LC/MS Neg,100008929,575,205.0354,,515;439459,,,,1.7185,1.346,1.3504,1.3013,1.2967,0.2461,0.2461,0.3302,0.4528,0.3853,1.0078,0.9922,0.8887,1.0845,0.9681
2597,"2-myristoylglycerol (14:0)",Lipid,"Monoacylglycerol",34383,LC/MS Neg,100001408,6230,227.2016,27214-38-6,137938,121585,,HMDB11530,1,0.5143,0.4339,0.4339,0.4661,1.0824,1.0905,1.2816,0.9909,0.647,0.7978,1.2598,0.4339,1.0043,1.0834
4020,"2-O-methylascorbic acid",Cofactors and Vitamins,"Ascorbate and Aldarate Metabolism",63990,LC/MS Polar,100003258,1512,189.0405,17860-87-6,99779,90149,,,1.084,1,1.1744,1.1449,1.0872,0.7932,0.9706,0.9716,0.9637,0.8484,1.0501,1.0761,0.9332,1.1365,0.8387
2601,"2-oleoylglycerol (18:1)",Lipid,"Monoacylglycerol",21232,LC/MS Neg,100000943,6500,281.2486,3443-84-3,5319879,4478086,,HMDB11537,2.0715,0.6553,0.5105,0.5161,1.8304,0.7123,1.1968,1,0.9163,0.7898,2.5711,3.8137,1.5654,0.9933,2.6948
434,"2-oxoarginine*",Amino Acid,"Urea cycle; Arginine and Proline Metabolism",55072,LC/MS Pos Early,100002784,1760,174.0873,04-Oct-3715,558,542,C03771,HMDB04225,0.9622,0.8469,1.151,1,1.0249,0.8086,0.6829,0.6973,0.9701,0.7133,1.8843,1.6397,1.6536,1.7086,1.466
2349,"2-palmitoleoyl-GPC (16:1)*",Lipid,"Lysophospholipid",47118,LC/MS Neg,100001561,5720,568.3256,,,21403164,,HMDB10383,1.3098,0.2339,0.2339,0.5306,1.2332,0.8118,1.0366,1.0426,0.9634,0.7588,1.0413,1.4895,0.4701,0.7544,1.2465
2347,"2-palmitoyl-GPC (16:0)*",Lipid,"Lysophospholipid",35253,LC/MS Pos Late,100001562,1505,496.3398,,15061532,21403165,,HMDB61702,0.8196,0.9848,1.1537,0.8619,0.8667,0.8467,1,1.0273,1.0513,0.9817,1.2496,1.2771,1.0514,1.2296,0.7554
2598,"2-palmitoylglycerol (16:0)",Lipid,"Monoacylglycerol",33419,LC/MS Neg,100001048,6400,255.2329,23470-00-0,123409,110006,,HMDB11533,1,0.7476,0.439,0.51,0.9388,1.0292,0.9978,1.5514,1.1627,1.0515,1.1964,1.9631,0.7228,0.9187,1.3674
2408,"2-stearoyl-GPE (18:0)*",Lipid,"Lysophospholipid",41220,LC/MS Neg,100003901,6350,480.3096,,,24769218,,HMDB11129,2.0948,1.2557,0.6325,0.8302,1.2328,0.8221,0.7248,1.7673,0.7896,0.9283,1,2.6733,0.6321,1.0117,1.7217
1822,"2R,3R-dihydroxybutyrate",Lipid,"Fatty Acid, Dihydroxy",63109,LC/MS Polar,100002367,1543,119.035,759-06-8,13120901,17215960,,HMDB00498,0.6427,0.89,0.8363,0.8514,0.9886,1.3854,1.0881,1.4302,1.5789,2.1679,1.7095,1,0.9945,1.1805,0.8999
170,"3-(4-hydroxyphenyl)lactate",Amino Acid,"Tyrosine Metabolism",32197,LC/MS Neg,240,1379,181.0506,6482-98-0,9378,9010,C03672,HMDB00755,1.6902,1.5505,1.7303,1.6534,1.5754,0.7912,0.8638,0.8849,0.9236,0.8298,1.1299,1,0.7967,1.0519,0.8827
432,"3-amino-2-piperidone",Amino Acid,"Urea cycle; Arginine and Proline Metabolism",62853,LC/MS Pos Early,100020361,2065,115.0866,1892-22-4,5200225,4371576,,HMDB00323,1.2766,1.2707,1.3752,1.1909,1,0.7333,0.7658,0.8108,0.8657,0.7926,1.1552,1.1251,0.8504,1.1003,0.9552
3955,"3-aminoisobutyrate",Nucleotide,"Pyrimidine Metabolism, Thymine containing",1566,LC/MS Pos Early,1114,2190,104.0706,10569-72-9;214139-20-5,64956,58481,C05145,HMDB03911,0.7075,0.5144,0.4608,1.2037,0.6692,0.7779,1,0.9031,1.3701,0.9381,1.1411,1.5034,1.2592,1.3936,1.0508
4378,"3-formylindole",Xenobiotics,"Food Component/Plant",62863,LC/MS Pos Early,100020219,2736,146.06,487-89-8,10256,9838,C08493,HMDB29737,1,0.8667,0.9335,0.9497,0.7978,0.8948,1.0483,1.0341,1.1155,1.0397,1.056,1.224,0.8998,1.2127,0.8931
2895,"3-hydroxy-3-methylglutarate",Lipid,"Mevalonate Metabolism",531,LC/MS Polar,112,2850,161.0455,503-49-1,1662,4573695,C03761,HMDB00355,2.0474,1.838,2.0636,1.8807,1.9818,0.9214,0.914,0.8372,1.0061,0.8733,1,0.9612,0.8896,1.0495,0.8351
1515,"3-hydroxyadipate*",Lipid,"Fatty Acid, Dicarboxylate",62069,LC/MS Polar,100004396,3131,161.0455,,151913,133894,,HMDB00345,1.122,1.2948,1.0764,1.0771,1.096,0.7797,0.9935,1.1104,1,0.9884,0.8407,0.9579,0.6532,1.1552,0.9607
1734,"3-hydroxybutyrate (BHBA)",Lipid,"Ketone Bodies",542,LC/MS Polar,254,1480,103.0401,625-72-9,441,428,C01089,HMDB00357,1.9239,0.6996,0.9685,0.6996,0.6996,1.4666,0.6996,0.6996,0.6996,0.6996,1,0.6996,0.6996,0.6996,0.6996
1771,"3-hydroxydecanoate",Lipid,"Fatty Acid, Monohydroxy",22053,LC/MS Neg,100000997,4634.7,187.134,5561-87-5,26612,24790,,HMDB02203,1.0588,0.8909,0.7201,0.6982,0.9122,1.2003,1.2648,1.2841,1.33,0.9763,1.279,0.8243,1.0237,0.6982,0.8858
376,"3-hydroxyisobutyrate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1549,LC/MS Polar,111,1619,103.0401,2068-83-9,87,10140307,C06001,HMDB00336,1.2506,0.9081,1.0298,0.9702,1.1268,0.2158,0.2158,0.2158,0.2158,0.2158,0.2158,0.2158,0.2158,0.2158,0.2158
1774,"3-hydroxylaurate",Lipid,"Fatty Acid, Monohydroxy",32457,LC/MS Neg,100001112,5175,215.1653,53941-38-1,94216,85026,,HMDB00387,1,0.7934,1.0729,0.8509,0.8899,1.3262,1.3032,0.8849,1.6414,1.2693,1.2273,0.9453,0.9045,1.1392,0.8854
1807,"3-hydroxystearate",Lipid,"Fatty Acid, Monohydroxy",52938,LC/MS Neg,100008933,5674,299.2592,45261-96-9,5282907,4446034,,,3.2733,1.3632,1.1628,1.1845,2.3486,0.8684,1.0254,1.0784,0.8693,1,0.5907,0.9314,0.4658,0.4922,0.7958
2725,"3-ketosphinganine",Lipid,"Sphingolipid Synthesis",34381,LC/MS Pos Late,100001436,1400,300.2897,18944-28-0,631,611,C02934,HMDB01480,1.376,1.0375,0.9625,0.9111,1.086,0.4044,2.0375,1.457,1.3195,2.0835,0.5213,0.4044,0.7466,0.9461,0.8102
371,"3-methyl-2-oxobutyrate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",44526,LC/MS Polar,100000936,911,115.0401,3715-29-5,49,48,C00141,HMDB00019,1.0902,0.9944,1.1741,0.7544,1.1002,0.7602,1.1201,0.9857,1,1.0304,1.0412,1.0125,0.9253,0.5739,0.734
347,"3-methyl-2-oxovalerate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15676,LC/MS Neg,100000036,2064.2,129.0557,1460-34-0;51829-07-3,47,46,C00671,HMDB03736,1,0.9752,1.2846,0.5806,0.9309,0.6654,1.2315,1.9185,1.0531,1.108,1.007,1.0774,0.8532,0.6928,0.7259
3930,"3-methylcytidine",Nucleotide,"Pyrimidine Metabolism, Cytidine containing",35132,LC/MS Pos Early,100001466,2176,258.1085,21028-20-6,159649,9164190,,,0.8766,0.9092,1.2006,1.0244,1,0.5275,0.801,0.6324,0.6056,0.7194,1.4599,1.5914,1.1986,1.0458,1.1357
323,"3-methylglutaconate",Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57747,LC/MS Polar,100002458,2700,99.0452,5746-90-7,1551553,1267861,,HMDB00522,1.3103,1.0854,1.4141,1.1249,1.3058,0.686,0.9063,0.643,0.7481,0.7864,1.0815,1.0597,0.8632,1,0.8902
69,"3-methylhistidine",Amino Acid,"Histidine Metabolism",15677,LC/MS Pos Early,100000042,2670,170.0924,368-16-1,64969,58494,C01152,HMDB00479,1.0246,0.9576,0.9322,1.0988,1,1.0187,1.0591,0.5273,1.2517,1.2212,1.0675,0.4325,0.6677,0.8556,0.7192
1109,"3-phosphoglycerate",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1414,LC/MS Neg,132,583,184.9857,80731-10-8,724,10669764,C00597,HMDB00807,1.3382,1.096,1.2001,1.0895,1.117,0.7883,0.4779,0.9465,0.7719,0.6717,1.058,1,0.7617,1.1014,0.9778
424,"3-sulfo-L-alanine",Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",47089,LC/MS Polar,382,2890,167.9972,498-40-8,72886,65718,C00506,HMDB02757,0.9463,0.8327,0.9428,1.0956,1.19,1.3878,1.4319,1.4431,1.8399,1.3732,1,0.9267,0.8141,0.957,0.7086
3915,"3-ureidoisobutyrate",Nucleotide,"Pyrimidine Metabolism, Uracil containing",57549,LC/MS Pos Early,100001531,1207,147.0764,2905-86-4,160663,141172,C05100,HMDB02031,0.2785,0.3977,0.1709,0.2073,0.101,0.4603,1.4861,0.6629,1.3686,1.0952,1.15,1.6564,1,1.2783,1.0645
3916,"3-ureidopropionate",Nucleotide,"Pyrimidine Metabolism, Uracil containing",3155,LC/MS Pos Early,1053,875,133.0608,462-88-4,111,109,C02642,HMDB00026,0.7407,0.5791,0.7719,1,1.0706,0.789,0.8525,1.0378,0.9014,0.8136,1.9416,2.4006,1.2927,1.7485,1.9393
